"","X","ID","Sample.No","locus","index","well","site","C","T","total","C_Ratio","age","Sex","Population","ind"
"85",103,"A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_27",11,363,374,0.0294117647058824,21,"F","NR","3C"
"86",104,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_45",13,2165,2178,0.00596877869605142,21,"F","NR","3C"
"87",105,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_90",12,2141,2153,0.00557361820715281,21,"F","NR","3C"
"88",106,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_92",1,2150,2151,0.000464900046490005,21,"F","NR","3C"
"89",108,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_66",0,2176,2176,0,21,"F","NR","3C"
"94",113,"A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_33",151,224,375,0.402666666666667,21,"F","NR","3C"
"95",114,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_165",1,1902,1903,0.000525486074619023,21,"F","NR","3C"
"96",116,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_132",31,2062,2093,0.0148112756808409,21,"F","NR","3C"
"101",125,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_157",41,1872,1913,0.0214323052796654,21,"F","NR","3C"
"102",126,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_160",3,1910,1913,0.00156821745948772,21,"F","NR","3C"
"112",136,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_148",22,1759,1781,0.0123526108927569,21,"F","NR","3C"
"113",137,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_151",3,1905,1908,0.00157232704402516,21,"F","NR","3C"
"114",138,"A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_154",2,1909,1911,0.0010465724751439,21,"F","NR","3C"
"115",139,"A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_73",129,246,375,0.344,21,"F","NR","3C"
"116",140,"A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_92",19,356,375,0.0506666666666667,21,"F","NR","3C"
"117",141,"A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_95",175,200,375,0.466666666666667,21,"F","NR","3C"
"118",142,"A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_113",257,115,372,0.690860215053763,21,"F","NR","3C"
"120",144,"A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_81",256,11618,11874,0.021559710291393,21,"F","NR","3C"
"140",178,"A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_49",140,235,375,0.373333333333333,21,"F","NR","3C"
"146",184,"A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_51",836,11057,11893,0.0702934499285294,21,"F","NR","3C"
"147",185,"A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_57",241,11651,11892,0.0202657248570468,21,"F","NR","3C"
"154",194,"A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_37",628,11260,11888,0.0528263795423957,21,"F","NR","3C"
"155",195,"A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_45",268,11509,11777,0.0227562197503609,21,"F","NR","3C"
"156",196,"A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_48",43,11847,11890,0.00361648444070648,21,"F","NR","3C"
"159",202,"A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_26",710,10825,11535,0.0615517988729952,21,"F","NR","3C"
"161",205,"A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_57",1,12727,12728,7.85669390320553e-05,6,"M","NR","3D"
"162",206,"A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_81",4,12674,12678,0.000315507177788295,6,"M","NR","3D"
"166",210,"A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_51",741,12003,12744,0.0581450094161959,6,"M","NR","3D"
"167",211,"A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_37",535,12210,12745,0.0419772459788152,6,"M","NR","3D"
"168",212,"A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_45",635,11971,12606,0.0503728383309535,6,"M","NR","3D"
"169",213,"A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_48",829,11916,12745,0.0650451157316595,6,"M","NR","3D"
"170",214,"A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_73",30,242,272,0.110294117647059,6,"M","NR","3D"
"172",217,"A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_49",54,218,272,0.198529411764706,6,"M","NR","3D"
"183",228,"A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_92",77,194,271,0.284132841328413,6,"M","NR","3D"
"184",229,"A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_95",44,228,272,0.161764705882353,6,"M","NR","3D"
"185",230,"A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_113",184,83,267,0.689138576779026,6,"M","NR","3D"
"187",233,"A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_26",1005,11705,12710,0.0790715971675846,6,"M","NR","3D"
"188",234,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_157",0,2115,2115,0,6,"M","NR","3D"
"189",235,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_160",47,2066,2113,0.0222432560340748,6,"M","NR","3D"
"190",236,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_165",1,2113,2114,0.000473036896877956,6,"M","NR","3D"
"191",238,"A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_27",51,220,271,0.188191881918819,6,"M","NR","3D"
"192",239,"A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_33",87,183,270,0.322222222222222,6,"M","NR","3D"
"212",266,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_45",0,2426,2426,0,6,"M","NR","3D"
"214",268,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_90",1,2391,2392,0.000418060200668896,6,"M","NR","3D"
"215",269,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_92",1,2387,2388,0.000418760469011725,6,"M","NR","3D"
"216",270,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_132",0,2327,2327,0,6,"M","NR","3D"
"217",271,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_148",0,1946,1946,0,6,"M","NR","3D"
"218",272,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_151",0,2107,2107,0,6,"M","NR","3D"
"219",273,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_154",166,1949,2115,0.0784869976359338,6,"M","NR","3D"
"226",281,"A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_66",1,2424,2425,0.000412371134020619,6,"M","NR","3D"
"237",307,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_66",1,2112,2113,0.000473260766682442,18,"F","NR","3E"
"238",308,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_132",0,2042,2042,0,18,"F","NR","3E"
"239",309,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_45",35,2074,2109,0.0165955429113324,18,"F","NR","3E"
"241",311,"A72","A72","BDNF","3E","BDNF_3E_S21_sort.bam","BDNF_57",329,15170,15499,0.0212271759468353,18,"F","NR","3E"
"242",312,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_90",1,2088,2089,0.000478697941598851,18,"F","NR","3E"
"244",316,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_165",3,1843,1846,0.00162513542795233,18,"F","NR","3E"
"245",319,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_160",13,1830,1843,0.00705371676614216,18,"F","NR","3E"
"247",321,"A72","A72","BDNF","3E","BDNF_3E_S21_sort.bam","BDNF_81",15,15437,15452,0.000970748123220295,18,"F","NR","3E"
"251",325,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_148",10,1670,1680,0.00595238095238095,18,"F","NR","3E"
"252",326,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_92",9,2080,2089,0.00430828147438966,18,"F","NR","3E"
"254",328,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_157",49,1797,1846,0.0265438786565547,18,"F","NR","3E"
"255",329,"A72","A72","BDNF","3E","BDNF_3E_S21_sort.bam","BDNF_26",1493,12871,14364,0.103940406571986,18,"F","NR","3E"
"256",330,"A72","A72","BDNF","3E","BDNF_3E_S21_sort.bam","BDNF_37",1578,13900,15478,0.101951156480165,18,"F","NR","3E"
"257",331,"A72","A72","BDNF","3E","BDNF_3E_S21_sort.bam","BDNF_45",2,15321,15323,0.00013052274358807,18,"F","NR","3E"
"258",332,"A72","A72","BDNF","3E","BDNF_3E_S21_sort.bam","BDNF_48",232,15241,15473,0.0149938602727331,18,"F","NR","3E"
"259",333,"A72","A72","BDNF","3E","BDNF_3E_S21_sort.bam","BDNF_51",1047,14427,15474,0.0676618844513377,18,"F","NR","3E"
"262",339,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_151",0,1841,1841,0,18,"F","NR","3E"
"263",340,"A72","A72","NP","3E","NP_3E_S21_merge.bam","NP_154",10,1833,1843,0.00542593597395551,18,"F","NR","3E"
"267",344,"A72","A72","CRF","3E","CRF_3E_S21_sort.bam","CRF_73",46,266,312,0.147435897435897,18,"F","NR","3E"
"268",345,"A72","A72","CRF","3E","CRF_3E_S21_sort.bam","CRF_92",2,311,313,0.00638977635782748,18,"F","NR","3E"
"269",346,"A72","A72","CRF","3E","CRF_3E_S21_sort.bam","CRF_95",0,313,313,0,18,"F","NR","3E"
"275",352,"A72","A72","ACTB","9E","ACTB_9E_S69_sort.bam","ACTB_29",70,28594,28664,0.00244208763605917,18,"F","NR","9E"
"276",353,"A72","A72","ACTB","9E","ACTB_9E_S69_sort.bam","ACTB_36",6,28692,28698,0.000209073803052478,18,"F","NR","9E"
"277",354,"A72","A72","ACTB","9E","ACTB_9E_S69_sort.bam","ACTB_49",8,28831,28839,0.000277402129061341,18,"F","NR","9E"
"278",355,"A72","A72","ACTB","9E","ACTB_9E_S69_sort.bam","ACTB_51",3589,25250,28839,0.124449530150144,18,"F","NR","9E"
"279",356,"A72","A72","ACTB","9E","ACTB_9E_S69_sort.bam","ACTB_54",9,28852,28861,0.000311839506600603,18,"F","NR","9E"
"280",357,"A72","A72","ACTB","9E","ACTB_9E_S69_sort.bam","ACTB_65",9,28873,28882,0.000311612769198809,18,"F","NR","9E"
"281",358,"A72","A72","ACTB","9E","ACTB_9E_S69_sort.bam","ACTB_71",7,28847,28854,0.000242600679281902,18,"F","NR","9E"
"282",359,"A72","A72","ACTB","9E","ACTB_9E_S69_sort.bam","ACTB_74",5,28876,28881,0.000173124199300578,18,"F","NR","9E"
"304",388,"A72","A72","CRF","3E","CRF_3E_S21_sort.bam","CRF_113",153,156,309,0.495145631067961,18,"F","NR","3E"
"309",393,"A72","A72","CRF","3E","CRF_3E_S21_sort.bam","CRF_49",102,211,313,0.325878594249201,18,"F","NR","3E"
"316",401,"A72","A72","CRF","3E","CRF_3E_S21_sort.bam","CRF_33",107,204,311,0.344051446945338,18,"F","NR","3E"
"318",404,"A72","A72","CRF","3E","CRF_3E_S21_sort.bam","CRF_27",31,279,310,0.1,18,"F","NR","3E"
"321",410,"A72","kw01-06","BDNF","3F","BDNF_3F_S22_sort.bam","BDNF_48",324,14480,14804,0.021885976763037,2,"F","NR","3F"
"322",411,"A72","kw01-06","CRF","3F","CRF_3F_S22_sort.bam","CRF_33",81,153,234,0.346153846153846,2,"F","NR","3F"
"323",412,"A72","kw01-06","CRF","3F","CRF_3F_S22_sort.bam","CRF_49",55,179,234,0.235042735042735,2,"F","NR","3F"
"324",413,"A72","kw01-06","CRF","3F","CRF_3F_S22_sort.bam","CRF_73",68,165,233,0.291845493562232,2,"F","NR","3F"
"334",423,"A72","kw01-06","CRF","3F","CRF_3F_S22_sort.bam","CRF_27",45,188,233,0.1931330472103,2,"F","NR","3F"
"337",426,"A72","kw01-06","CRF","3F","CRF_3F_S22_sort.bam","CRF_113",143,89,232,0.616379310344828,2,"F","NR","3F"
"338",427,"A72","kw01-06","CRF","3F","CRF_3F_S22_sort.bam","CRF_92",52,182,234,0.222222222222222,2,"F","NR","3F"
"339",428,"A72","kw01-06","CRF","3F","CRF_3F_S22_sort.bam","CRF_95",11,223,234,0.047008547008547,2,"F","NR","3F"
"340",429,"A72","kw01-06","ACTB","9F","ACTB_9F_S70_sort.bam","ACTB_49",4,20411,20415,0.000195934361988734,2,"F","NR","9F"
"364",454,"A72","kw01-06","BDNF","3F","BDNF_3F_S22_sort.bam","BDNF_57",183,14624,14807,0.0123590193827244,2,"F","NR","3F"
"365",455,"A72","kw01-06","BDNF","3F","BDNF_3F_S22_sort.bam","BDNF_81",372,14342,14714,0.02528204431154,2,"F","NR","3F"
"366",457,"A72","kw01-06","BDNF","3F","BDNF_3F_S22_sort.bam","BDNF_51",1238,13567,14805,0.0836203985140155,2,"F","NR","3F"
"367",461,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_160",33,1857,1890,0.0174603174603175,2,"F","NR","3F"
"368",462,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_165",1,1887,1888,0.000529661016949153,2,"F","NR","3F"
"371",469,"A72","kw01-06","ACTB","9F","ACTB_9F_S70_sort.bam","ACTB_29",3,18664,18667,0.000160711415867574,2,"F","NR","9F"
"372",470,"A72","kw01-06","ACTB","9F","ACTB_9F_S70_sort.bam","ACTB_36",9,18680,18689,0.000481566696987533,2,"F","NR","9F"
"373",472,"A72","kw01-06","ACTB","9F","ACTB_9F_S70_sort.bam","ACTB_51",6,20405,20411,0.000293959139679585,2,"F","NR","9F"
"374",473,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_132",19,2103,2122,0.00895381715362865,2,"F","NR","3F"
"375",474,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_92",32,2143,2175,0.0147126436781609,2,"F","NR","3F"
"378",477,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_90",30,2147,2177,0.0137804317868627,2,"F","NR","3F"
"380",479,"A72","kw01-06","BDNF","3F","BDNF_3F_S22_sort.bam","BDNF_37",395,14408,14803,0.0266837803148011,2,"F","NR","3F"
"381",480,"A72","kw01-06","BDNF","3F","BDNF_3F_S22_sort.bam","BDNF_45",311,14343,14654,0.0212228743005323,2,"F","NR","3F"
"383",482,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_66",0,2210,2210,0,2,"F","NR","3F"
"386",485,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_45",25,2184,2209,0.0113173381620643,2,"F","NR","3F"
"388",487,"A72","kw01-06","BDNF","3F","BDNF_3F_S22_sort.bam","BDNF_26",1379,13129,14508,0.0950510063413289,2,"F","NR","3F"
"396",498,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_148",20,1703,1723,0.0116076610562972,2,"F","NR","3F"
"397",499,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_151",15,1867,1882,0.00797024442082891,2,"F","NR","3F"
"398",500,"A72","kw01-06","ACTB","9F","ACTB_9F_S70_sort.bam","ACTB_54",2,20419,20421,9.79383967484452e-05,2,"F","NR","9F"
"399",501,"A72","kw01-06","ACTB","9F","ACTB_9F_S70_sort.bam","ACTB_65",1,20471,20472,4.88472059398202e-05,2,"F","NR","9F"
"400",502,"A72","kw01-06","ACTB","9F","ACTB_9F_S70_sort.bam","ACTB_71",3,20459,20462,0.000146613234287948,2,"F","NR","9F"
"401",503,"A72","kw01-06","ACTB","9F","ACTB_9F_S70_sort.bam","ACTB_74",5,20469,20474,0.000244212171534629,2,"F","NR","9F"
"403",506,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_157",15,1878,1893,0.00792393026941363,2,"F","NR","3F"
"404",509,"A72","kw01-06","NP","3F","NP_3F_S22_merge.bam","NP_154",2,1889,1891,0.00105764145954521,2,"F","NR","3F"
"405",511,"A74","kw03-10","CRF","3G","CRF_3G_S23_sort.bam","CRF_33",39,253,292,0.133561643835616,3,"M","NR","3G"
"406",512,"A74","kw03-10","CRF","3G","CRF_3G_S23_sort.bam","CRF_49",60,232,292,0.205479452054795,3,"M","NR","3G"
"407",513,"A74","kw03-10","CRF","3G","CRF_3G_S23_sort.bam","CRF_27",4,287,291,0.013745704467354,3,"M","NR","3G"
"408",515,"A74","kw03-10","CRF","3G","CRF_3G_S23_sort.bam","CRF_73",73,220,293,0.249146757679181,3,"M","NR","3G"
"414",523,"A74","kw03-10","ACTB","9G","ACTB_9G_S71_sort.bam","ACTB_36",9,28349,28358,0.000317370759574018,3,"M","NR","9G"
"415",524,"A74","kw03-10","ACTB","9G","ACTB_9G_S71_sort.bam","ACTB_49",7,28453,28460,0.000245959241040056,3,"M","NR","9G"
"425",537,"A74","kw03-10","ACTB","9G","ACTB_9G_S71_sort.bam","ACTB_51",9,28455,28464,0.000316188870151771,3,"M","NR","9G"
"426",538,"A74","kw03-10","ACTB","9G","ACTB_9G_S71_sort.bam","ACTB_54",2,28494,28496,7.01852891633914e-05,3,"M","NR","9G"
"428",540,"A74","kw03-10","ACTB","9G","ACTB_9G_S71_sort.bam","ACTB_65",2,28517,28519,7.01286861390652e-05,3,"M","NR","9G"
"429",541,"A74","kw03-10","ACTB","9G","ACTB_9G_S71_sort.bam","ACTB_71",2,28490,28492,7.01951424961393e-05,3,"M","NR","9G"
"430",542,"A74","kw03-10","ACTB","9G","ACTB_9G_S71_sort.bam","ACTB_74",303,28215,28518,0.0106248685041027,3,"M","NR","9G"
"431",544,"A74","kw03-10","CRF","3G","CRF_3G_S23_sort.bam","CRF_92",71,220,291,0.243986254295533,3,"M","NR","3G"
"432",545,"A74","kw03-10","CRF","3G","CRF_3G_S23_sort.bam","CRF_95",52,240,292,0.178082191780822,3,"M","NR","3G"
"433",546,"A74","kw03-10","CRF","3G","CRF_3G_S23_sort.bam","CRF_113",118,171,289,0.408304498269896,3,"M","NR","3G"
"436",549,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_45",2,2141,2143,0.000933271115258983,3,"M","NR","3G"
"437",550,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_66",1,2145,2146,0.000465983224603914,3,"M","NR","3G"
"438",551,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_90",2,2118,2120,0.000943396226415094,3,"M","NR","3G"
"447",560,"A74","kw03-10","ACTB","9G","ACTB_9G_S71_sort.bam","ACTB_29",6,28312,28318,0.000211879370012006,3,"M","NR","9G"
"462",581,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_92",31,2088,2119,0.0146295422369042,3,"M","NR","3G"
"463",582,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_132",1,2070,2071,0.000482858522452921,3,"M","NR","3G"
"464",583,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_148",2,1699,1701,0.00117577895355673,3,"M","NR","3G"
"465",584,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_151",1,1861,1862,0.000537056928034372,3,"M","NR","3G"
"466",585,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_154",2,1862,1864,0.00107296137339056,3,"M","NR","3G"
"467",586,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_157",1,1866,1867,0.000535618639528656,3,"M","NR","3G"
"468",587,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_160",41,1830,1871,0.0219134152859433,3,"M","NR","3G"
"472",592,"A74","kw03-10","BDNF","3G","BDNF_3G_S23_sort.bam","BDNF_51",1075,11530,12605,0.0852836176120587,3,"M","NR","3G"
"473",593,"A74","kw03-10","BDNF","3G","BDNF_3G_S23_sort.bam","BDNF_57",680,11931,12611,0.0539211799222901,3,"M","NR","3G"
"478",601,"A74","kw03-10","BDNF","3G","BDNF_3G_S23_sort.bam","BDNF_26",1002,10648,11650,0.0860085836909871,3,"M","NR","3G"
"479",602,"A74","kw03-10","BDNF","3G","BDNF_3G_S23_sort.bam","BDNF_37",395,12210,12605,0.0313367711225704,3,"M","NR","3G"
"480",603,"A74","kw03-10","BDNF","3G","BDNF_3G_S23_sort.bam","BDNF_45",2,12504,12506,0.000159923236846314,3,"M","NR","3G"
"481",604,"A74","kw03-10","BDNF","3G","BDNF_3G_S23_sort.bam","BDNF_48",343,12263,12606,0.0272092654291607,3,"M","NR","3G"
"484",608,"A74","kw03-10","BDNF","3G","BDNF_3G_S23_sort.bam","BDNF_81",278,12230,12508,0.0222257755036776,3,"M","NR","3G"
"487",611,"A74","kw03-10","NP","3G","NP_3G_S23_merge.bam","NP_165",0,1870,1870,0,3,"M","NR","3G"
"490",618,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_160",1,2021,2022,0.000494559841740851,41,"M","NR","3H"
"492",620,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_45",1,2328,2329,0.0004293688278231,41,"M","NR","3H"
"493",621,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_66",8,2320,2328,0.00343642611683849,41,"M","NR","3H"
"497",626,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_165",0,2018,2018,0,41,"M","NR","3H"
"503",647,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_90",340,1957,2297,0.148019155420113,41,"M","NR","3H"
"504",648,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_92",2,2298,2300,0.000869565217391304,41,"M","NR","3H"
"505",649,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_132",0,2248,2248,0,41,"M","NR","3H"
"506",650,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_148",0,1868,1868,0,41,"M","NR","3H"
"507",651,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_151",43,1970,2013,0.0213611525086935,41,"M","NR","3H"
"508",652,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_154",1,2021,2022,0.000494559841740851,41,"M","NR","3H"
"509",653,"B01","kw93-39","NP","3H","NP_3H_S24_merge.bam","NP_157",1,2021,2022,0.000494559841740851,41,"M","NR","3H"
"512",657,"B01","kw93-39","BDNF","3H","BDNF_3H_S24_sort.bam","BDNF_26",711,9426,10137,0.0701390944066292,41,"M","NR","3H"
