"","ID","Sample.No","locus","index","well","site","C","T","total","C_Ratio","age","Sex","Population"
"25","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_313",21,562,583,0.0360205831903945,24,"F","NR"
"26","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_319",10,536,546,0.0183150183150183,24,"F","NR"
"27","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_321",13,535,548,0.0237226277372263,24,"F","NR"
"28","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_108",0,534,534,0,24,"F","NR"
"29","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_148",27,563,590,0.0457627118644068,24,"F","NR"
"30","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_236",134,451,585,0.229059829059829,24,"F","NR"
"31","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_242",43,542,585,0.0735042735042735,24,"F","NR"
"32","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_257",133,452,585,0.227350427350427,24,"F","NR"
"33","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_260",93,492,585,0.158974358974359,24,"F","NR"
"34","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_265",25,560,585,0.0427350427350427,24,"F","NR"
"35","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_172",1,519,520,0.00192307692307692,24,"F","NR"
"36","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_33",73,510,583,0.125214408233276,24,"F","NR"
"37","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_49",60,530,590,0.101694915254237,24,"F","NR"
"38","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_73",65,525,590,0.110169491525424,24,"F","NR"
"39","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_92",256,335,591,0.433164128595601,24,"F","NR"
"40","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_95",28,563,591,0.0473773265651438,24,"F","NR"
"41","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_113",400,181,581,0.688468158347676,24,"F","NR"
"42","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_126",6,529,535,0.011214953271028,24,"F","NR"
"43","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_136",1,534,535,0.00186915887850467,24,"F","NR"
"44","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_144",0,531,531,0,24,"F","NR"
"45","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_150",1,529,530,0.00188679245283019,24,"F","NR"
"46","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_160",5,524,529,0.00945179584120983,24,"F","NR"
"47","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_168",9,514,523,0.017208413001912,24,"F","NR"
"48","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_27",42,541,583,0.072041166380789,24,"F","NR"
"49","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_70",7,527,534,0.0131086142322097,24,"F","NR"
"50","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_72",0,534,534,0,24,"F","NR"
"51","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_145",445,15484,15929,0.0279364680770921,24,"F","NR"
"52","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_154",1062,14758,15820,0.0671302149178255,24,"F","NR"
"53","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_167",210,15673,15883,0.0132216835610401,24,"F","NR"
"54","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_172",711,15196,15907,0.0446973030741183,24,"F","NR"
"55","A28","kw98-16","CRF","3B","CRF_3B_S18_sort.bam","CRF_135",361,229,590,0.611864406779661,24,"F","NR"
"56","A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_71",2,18536,18538,0.000107886503398425,24,"F","NR"
"57","A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_74",6,18539,18545,0.00032353734160151,24,"F","NR"
"59","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_53",0,534,534,0,24,"F","NR"
"60","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_58",2,530,532,0.0037593984962406,24,"F","NR"
"61","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_64",4,530,534,0.00749063670411985,24,"F","NR"
"62","A28","kw98-16","GAPDH","9B","GAPDH_9B_S66_sort.bam","GAPDH_126",17412,23181,40593,0.428940950410169,24,"F","NR"
"63","A28","kw98-16","GAPDH","9B","GAPDH_9B_S66_sort.bam","GAPDH_131",33140,7449,40589,0.816477370716204,24,"F","NR"
"64","A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_29",4,18422,18426,0.000217084554433952,24,"F","NR"
"65","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_179",2,512,514,0.00389105058365759,24,"F","NR"
"66","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_189",9,503,512,0.017578125,24,"F","NR"
"67","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_196",3,501,504,0.00595238095238095,24,"F","NR"
"69","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_192",668,15256,15924,0.0419492589801557,24,"F","NR"
"70","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_213",260,15691,15951,0.0162999185004075,24,"F","NR"
"71","A28","kw98-16","GAPDH","9B","GAPDH_9B_S66_sort.bam","GAPDH_55",10516,30007,40523,0.25950694667226,24,"F","NR"
"72","A28","kw98-16","GAPDH","9B","GAPDH_9B_S66_sort.bam","GAPDH_58",22693,17846,40539,0.559781938380325,24,"F","NR"
"73","A28","kw98-16","GAPDH","9B","GAPDH_9B_S66_sort.bam","GAPDH_89",28644,11949,40593,0.705638903259183,24,"F","NR"
"74","A28","kw98-16","GAPDH","9B","GAPDH_9B_S66_sort.bam","GAPDH_117",19293,21297,40590,0.475314116777531,24,"F","NR"
"77","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_106",216,15690,15906,0.013579781214636,24,"F","NR"
"78","A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_36",8,18427,18435,0.00043395714673176,24,"F","NR"
"79","A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_49",3,18525,18528,0.000161917098445596,24,"F","NR"
"80","A28","kw98-16","ACTB","9B","ACTB_9B_S66_sort.bam","ACTB_51",6,18508,18514,0.000324079075294372,24,"F","NR"
"81","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_45",525,15049,15574,0.0337100295364068,24,"F","NR"
"83","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_26",2205,13547,15752,0.139982224479431,24,"F","NR"
"84","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_37",562,15220,15782,0.0356101888227094,24,"F","NR"
"85","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_81",405,15265,15670,0.0258455647734525,24,"F","NR"
"86","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_48",781,14997,15778,0.0494993028267207,24,"F","NR"
"87","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_51",1112,14672,15784,0.0704510897110999,24,"F","NR"
"88","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_57",346,15437,15783,0.0219223214851422,24,"F","NR"
"89","A28","kw98-16","BDNF","3B","BDNF_3B_S18_sort.bam","BDNF_208",1433,14504,15937,0.0899165464014557,24,"F","NR"
"94","A28","kw98-16","GAPDH","9B","GAPDH_9B_S66_sort.bam","GAPDH_35",34686,4672,39358,0.881294781238884,24,"F","NR"
"97","A28","kw98-16","NE","9B","NE_9B_S66_merge.bam","NE_44",3,531,534,0.00561797752808989,24,"F","NR"
"103","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_27",11,363,374,0.0294117647058824,21,"F","NR"
"104","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_45",13,2165,2178,0.00596877869605142,21,"F","NR"
"105","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_90",12,2141,2153,0.00557361820715281,21,"F","NR"
"106","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_92",1,2150,2151,0.000464900046490005,21,"F","NR"
"108","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_66",0,2176,2176,0,21,"F","NR"
"109","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_242",7,361,368,0.0190217391304348,21,"F","NR"
"110","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_257",31,337,368,0.0842391304347826,21,"F","NR"
"111","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_260",54,313,367,0.147138964577657,21,"F","NR"
"112","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_236",119,247,366,0.325136612021858,21,"F","NR"
"113","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_33",151,224,375,0.402666666666667,21,"F","NR"
"114","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_165",1,1902,1903,0.000525486074619023,21,"F","NR"
"116","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_132",31,2062,2093,0.0148112756808409,21,"F","NR"
"120","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_196",0,1746,1746,0,21,"F","NR"
"121","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_44",11,628,639,0.0172143974960876,21,"F","NR"
"122","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_53",10,629,639,0.0156494522691706,21,"F","NR"
"123","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_58",0,638,638,0,21,"F","NR"
"125","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_157",41,1872,1913,0.0214323052796654,21,"F","NR"
"126","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_160",3,1910,1913,0.00156821745948772,21,"F","NR"
"127","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_83",0,637,637,0,21,"F","NR"
"128","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_85",2,637,639,0.00312989045383412,21,"F","NR"
"129","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_96",0,639,639,0,21,"F","NR"
"130","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_101",9,630,639,0.0140845070422535,21,"F","NR"
"131","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_103",9,630,639,0.0140845070422535,21,"F","NR"
"132","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_108",0,639,639,0,21,"F","NR"
"133","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_126",5,633,638,0.00783699059561128,21,"F","NR"
"134","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_136",0,638,638,0,21,"F","NR"
"135","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_144",0,636,636,0,21,"F","NR"
"136","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_148",22,1759,1781,0.0123526108927569,21,"F","NR"
"137","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_151",3,1905,1908,0.00157232704402516,21,"F","NR"
"138","A34","KW96-20","NP","3C","NP_3C_S19_merge.bam","NP_154",2,1909,1911,0.0010465724751439,21,"F","NR"
"139","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_73",129,246,375,0.344,21,"F","NR"
"140","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_92",19,356,375,0.0506666666666667,21,"F","NR"
"141","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_95",175,200,375,0.466666666666667,21,"F","NR"
"142","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_113",257,115,372,0.690860215053763,21,"F","NR"
"143","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_135",171,204,375,0.456,21,"F","NR"
"144","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_81",256,11618,11874,0.021559710291393,21,"F","NR"
"145","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_106",195,11829,12024,0.0162175648702595,21,"F","NR"
"146","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_145",175,11871,12046,0.0145276440312137,21,"F","NR"
"147","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_154",290,11673,11963,0.0242414110173034,21,"F","NR"
"148","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_167",560,11457,12017,0.0466006490804693,21,"F","NR"
"149","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_172",453,11580,12033,0.037646472201446,21,"F","NR"
"150","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_192",374,11649,12023,0.0311070448307411,21,"F","NR"
"151","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_208",496,11556,12052,0.0411549950215732,21,"F","NR"
"152","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_213",869,11189,12058,0.0720683363741914,21,"F","NR"
"153","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_286",13,355,368,0.0353260869565217,21,"F","NR"
"154","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_305",2,363,365,0.00547945205479452,21,"F","NR"
"155","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_313",0,363,363,0,21,"F","NR"
"156","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_319",4,350,354,0.0112994350282486,21,"F","NR"
"157","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_321",48,307,355,0.135211267605634,21,"F","NR"
"163","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_150",18,617,635,0.0283464566929134,21,"F","NR"
"164","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_64",8,631,639,0.0125195618153365,21,"F","NR"
"165","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_70",6,633,639,0.00938967136150235,21,"F","NR"
"166","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_72",0,638,638,0,21,"F","NR"
"173","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_148",31,343,374,0.0828877005347594,21,"F","NR"
"177","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_160",0,631,631,0,21,"F","NR"
"178","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_49",140,235,375,0.373333333333333,21,"F","NR"
"179","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_168",3,623,626,0.00479233226837061,21,"F","NR"
"180","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_172",5,618,623,0.00802568218298555,21,"F","NR"
"181","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_179",6,615,621,0.00966183574879227,21,"F","NR"
"182","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_189",3,614,617,0.00486223662884927,21,"F","NR"
"183","A34","KW96-20","NE","9C","NE_9C_S67_merge.bam","NE_196",2,608,610,0.00327868852459016,21,"F","NR"
"184","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_51",836,11057,11893,0.0702934499285294,21,"F","NR"
"185","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_57",241,11651,11892,0.0202657248570468,21,"F","NR"
"186","A34","KW96-20","GAPDH","9C","GAPDH_9C_S67_sort.bam","GAPDH_35",26781,5829,32610,0.821251149954002,21,"F","NR"
"187","A34","KW96-20","GAPDH","9C","GAPDH_9C_S67_sort.bam","GAPDH_55",7580,25989,33569,0.225803568768805,21,"F","NR"
"188","A34","KW96-20","GAPDH","9C","GAPDH_9C_S67_sort.bam","GAPDH_58",16282,17298,33580,0.48487194758785,21,"F","NR"
"189","A34","KW96-20","GAPDH","9C","GAPDH_9C_S67_sort.bam","GAPDH_89",19631,14024,33655,0.583301143960778,21,"F","NR"
"191","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_265",58,310,368,0.157608695652174,21,"F","NR"
"192","A34","KW96-20","CRF","3C","CRF_3C_S19_sort.bam","CRF_270",153,215,368,0.415760869565217,21,"F","NR"
"194","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_37",628,11260,11888,0.0528263795423957,21,"F","NR"
"195","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_45",268,11509,11777,0.0227562197503609,21,"F","NR"
"196","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_48",43,11847,11890,0.00361648444070648,21,"F","NR"
"197","A34","KW96-20","GAPDH","9C","GAPDH_9C_S67_sort.bam","GAPDH_131",24745,8887,33632,0.735757611798287,21,"F","NR"
"201","A34","KW96-20","GAPDH","9C","GAPDH_9C_S67_sort.bam","GAPDH_126",13067,20569,33636,0.388482578190035,21,"F","NR"
"202","A34","KW96-20","BDNF","3C","BDNF_3C_S19_sort.bam","BDNF_26",710,10825,11535,0.0615517988729952,21,"F","NR"
"204","A34","KW96-20","GAPDH","9C","GAPDH_9C_S67_sort.bam","GAPDH_117",14907,18729,33636,0.4431858722797,21,"F","NR"
"205","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_57",1,12727,12728,7.85669390320553e-05,6,"M","NR"
"206","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_81",4,12674,12678,0.000315507177788295,6,"M","NR"
"207","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_106",476,12380,12856,0.037025513378967,6,"M","NR"
"208","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_145",114,12755,12869,0.00885849716372679,6,"M","NR"
"209","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_154",1231,11574,12805,0.0961343225302616,6,"M","NR"
"210","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_51",741,12003,12744,0.0581450094161959,6,"M","NR"
"211","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_37",535,12210,12745,0.0419772459788152,6,"M","NR"
"212","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_45",635,11971,12606,0.0503728383309535,6,"M","NR"
"213","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_48",829,11916,12745,0.0650451157316595,6,"M","NR"
"214","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_73",30,242,272,0.110294117647059,6,"M","NR"
"215","A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_196",0,1921,1921,0,6,"M","NR"
"217","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_49",54,218,272,0.198529411764706,6,"M","NR"
"218","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_135",129,143,272,0.474264705882353,6,"M","NR"
"219","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_167",296,12552,12848,0.0230386052303861,6,"M","NR"
"220","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_236",103,165,268,0.384328358208955,6,"M","NR"
"221","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_242",17,251,268,0.0634328358208955,6,"M","NR"
"222","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_257",70,198,268,0.261194029850746,6,"M","NR"
"223","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_260",74,194,268,0.276119402985075,6,"M","NR"
"224","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_265",60,208,268,0.223880597014925,6,"M","NR"
"225","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_270",106,162,268,0.395522388059701,6,"M","NR"
"226","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_286",35,233,268,0.130597014925373,6,"M","NR"
"227","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_305",45,223,268,0.167910447761194,6,"M","NR"
"228","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_92",77,194,271,0.284132841328413,6,"M","NR"
"229","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_95",44,228,272,0.161764705882353,6,"M","NR"
"230","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_113",184,83,267,0.689138576779026,6,"M","NR"
"232","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_148",83,188,271,0.306273062730627,6,"M","NR"
"233","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_26",1005,11705,12710,0.0790715971675846,6,"M","NR"
"234","A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_157",0,2115,2115,0,6,"M","NR"
"235","A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_160",47,2066,2113,0.0222432560340748,6,"M","NR"
"236","A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_165",1,2113,2114,0.000473036896877956,6,"M","NR"
"238","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_27",51,220,271,0.188191881918819,6,"M","NR"
"239","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_33",87,183,270,0.322222222222222,6,"M","NR"
"240","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_58",0,484,484,0,6,"M","NR"
"241","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_313",11,253,264,0.0416666666666667,6,"M","NR"
"242","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_70",0,484,484,0,6,"M","NR"
"243","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_72",0,484,484,0,6,"M","NR"
"244","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_83",0,486,486,0,6,"M","NR"
"245","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_172",575,12290,12865,0.0446949086669258,6,"M","NR"
"246","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_192",242,12631,12873,0.0187990367435718,6,"M","NR"
"247","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_208",509,12370,12879,0.0395217019954965,6,"M","NR"
"248","A55","kw96-18","BDNF","3D","BDNF_3D_S20_sort.bam","BDNF_213",423,12472,12895,0.0328034121752617,6,"M","NR"
"249","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_108",0,486,486,0,6,"M","NR"
"250","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_126",0,486,486,0,6,"M","NR"
"251","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_136",0,484,484,0,6,"M","NR"
"252","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_144",0,483,483,0,6,"M","NR"
"253","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_150",0,482,482,0,6,"M","NR"
"254","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_64",12,471,483,0.0248447204968944,6,"M","NR"
"255","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_168",4,469,473,0.00845665961945032,6,"M","NR"
"256","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_172",0,473,473,0,6,"M","NR"
"257","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_179",14,457,471,0.029723991507431,6,"M","NR"
"258","A55","kw96-18","CRF","3D","CRF_3D_S20_sort.bam","CRF_319",18,243,261,0.0689655172413793,6,"M","NR"
"266","A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_45",0,2426,2426,0,6,"M","NR"
"267","A55","kw96-18","NE","9D","NE_9D_S68_merge.bam","NE_160",0,479,479,0,6,"M","NR"
"268","A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_90",1,2391,2392,0.000418060200668896,6,"M","NR"
"269","A55","kw96-18","NP","3D","NP_3D_S20_merge.bam","NP_92",1,2387,2388,0.000418760469011725,6,"M","NR"
